,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
1939,Aleix Vidal,Aleix Vidal Parreu,33,1.77,Spain,Valls,1.8,10.0,Attack - Right Winger,22,right,Espanyol,2023-06-30,2021-08-18,Promoesport,Nike,LaLiga
1940,Joselu,,33,1.92,Spain,Stuttgart,6.0,8.0,Attack - Centre-Forward,9,right,Espanyol,2025-06-30,2022-07-01,MRH Football Agency,,LaLiga
1941,Martin Braithwaite,Martin Christensen Braithwaite,31,1.77,Denmark,Esbjerg,6.0,12.0,Attack - Centre-Forward,17,right,Espanyol,2025-06-30,2022-09-01,HCM Sports ...,Nike,LaLiga
1942,Dani Gómez,Daniel Gómez Alcón,24,1.78,Spain,Alcorcón,2.0,2.5,Attack - Centre-Forward,19,right,Espanyol,2023-06-30,2022-08-22,Manuel García ...,Nike,LaLiga
1943,Stole Dimitrievski,Столе Димитриевски,29,1.88,North Macedonia  Spain,Kumanovo,4.0,4.0,Goalkeeper,1,right,Rayo Vallecano,2024-06-30,2019-01-31,Promoesport,,LaLiga
1944,Miguel Ángel Morro,Miguel Ángel Morro Muñoz,22,1.95,Spain,Alcalá de Henares,0.6,0.6,Goalkeeper,30,left,Rayo Vallecano,2025-06-30,2020-08-01,ROOF,,LaLiga
1945,Diego López,Diego López Rodríguez,41,1.96,Spain,Paradela,0.5,16.0,Goalkeeper,13,right,Rayo Vallecano,2023-06-30,2022-07-02,Manuel García ...,,LaLiga
1946,Alejandro Catena,Alejandro Catena Marugán,28,1.94,Spain,Madrid,8.0,8.0,Defender - Centre-Back,5,right,Rayo Vallecano,2023-06-30,2019-01-31,Universal Sport,,LaLiga
1947,Florian Lejeune,Florian Grégoire Claude Lejeune,31,1.9,France,Paris,4.0,8.0,Defender - Centre-Back,19,right,Rayo Vallecano,2023-06-30,2022-07-29,Wasserman,Nike,LaLiga
1948,Abdul Mumin,Abdul Mumin Suleman,24,1.88,Ghana  Nigeria,Accra,1.5,3.0,Defender - Centre-Back,16,right,Rayo Vallecano,2026-06-30,2022-09-01,HC,,LaLiga
1949,Esteban Saveljich,Esteban Ariel Saveljich,31,1.87,Montenegro  Argentina,Tandil,0.6,1.0,Defender - Centre-Back,24,right,Rayo Vallecano,2023-06-30,2019-07-26,,,LaLiga
1950,Mario Suárez,Mario Suárez Mata,36,1.89,Spain,Madrid,0.3,10.0,Defender - Centre-Back,4,right,Rayo Vallecano,2023-06-30,2019-01-31,Promoesport,,LaLiga
1951,Fran García,Francisco José García Torres,23,1.69,Spain,Bolaños de Calatrava,10.0,10.0,Defender - Left-Back,3,left,Rayo Vallecano,2025-06-30,2021-07-13,Media Base Sports,Nike,LaLiga
1952,Pep Chavarría,Josep María Chavarría Pérez,25,1.74,Spain,Figueres,1.0,1.0,Defender - Left-Back,15,left,Rayo Vallecano,2027-06-30,2022-08-31,Promoesport,,LaLiga
1953,Iván Balliu,Iván Balliu Campeny,31,1.72,Albania  Spain,Caldes de Malavella,4.0,4.0,Defender - Right-Back,20,right,Rayo Vallecano,2025-06-30,2021-07-14,Fabián Bustos,,LaLiga
1954,Mario Hernández,Mario Hernández Fernández,24,1.77,Spain,Madrid,0.7,0.8,Defender - Right-Back,2,right,Rayo Vallecano,2023-06-30,2019-01-01,PROTIO SPORT,,LaLiga
1955,Santi Comesaña,Santiago Comesaña Veiga,26,1.88,Spain,Vigo,5.0,5.0,midfield - Central Midfield,6,both,Rayo Vallecano,2023-06-30,2016-07-16,Intermedia Sport ...,adidas,LaLiga
1956,Unai López,Unai López Cabrera,27,1.7,Spain,Donostia-San Sebastián,4.0,12.0,midfield - Central Midfield,17,right,Rayo Vallecano,2024-06-30,2022-07-01,IDUB GLOBAL,,LaLiga
1957,Pathé Ciss,Pathé Ismaël Ciss,29,1.86,Senegal,Dakar,4.0,4.0,midfield - Central Midfield,21,right,Rayo Vallecano,2025-06-30,2021-07-28,NTS Management,,LaLiga
1958,Óscar Valentín,Óscar Valentín Martín Luengo,28,1.77,Spain,Ajofrín,4.0,4.0,midfield - Central Midfield,23,right,Rayo Vallecano,2025-06-30,2019-07-01,Promoesport,,LaLiga
1959,Óscar Trejo,Óscar Guido Trejo,35,1.8,Argentina  Italy,Santiago del Estero,3.0,4.0,midfield - Attacking Midfield,8,right,Rayo Vallecano,2024-06-30,2017-07-01,Eleven Talent Group,,LaLiga
1960,José Pozo,José Ángel Pozo la Rosa,27,1.71,Spain,Málaga,1.2,3.0,midfield - Attacking Midfield,22,left,Rayo Vallecano,2024-06-30,2018-07-27,YOU FIRST,,LaLiga
1961,Álvaro García,Álvaro García Rivera,30,1.67,Spain,Utrera,6.0,6.0,Attack - Left Winger,18,both,Rayo Vallecano,2026-06-30,2018-08-23,YOU FIRST,Puma,LaLiga
1962,Isi Palazón,Isaac Palazón Camacho,28,1.69,Spain,Cieza,10.0,10.0,Attack - Right Winger,7,left,Rayo Vallecano,2028-06-30,2020-01-23,JV SPORTS SL,Puma,LaLiga
1963,Salvi Sánchez,Salvador Sánchez Ponce,32,1.7,Spain,Sanlúcar de Barrameda,1.8,2.8,Attack - Right Winger,14,right,Rayo Vallecano,2024-06-30,2022-07-01,Promoesport,,LaLiga
1964,Sergio Camello,Sergio Camello Pérez,22,1.77,Spain,Madrid,10.0,10.0,Attack - Centre-Forward,34,right,Rayo Vallecano,2023-06-30,2022-08-03,Best of You,,LaLiga
1965,Raúl de Tomás,Raúl de Tomás Gómez,28,1.8,Spain  Dominican Republic,Madrid,8.0,25.0,Attack - Centre-Forward,25,right,Rayo Vallecano,2027-06-30,2022-09-13,Relatives,,LaLiga
1966,Radamel Falcao,Radamel Falcao García Zárate,37,1.77,Colombia  Venezuela,Santa Marta,2.0,60.0,Attack - Centre-Forward,9,right,Rayo Vallecano,2023-06-30,2021-09-04,Gestifute,Nike,LaLiga
1967,Andrés Martín,Andrés Martín García,23,1.78,Spain,Aguadulce,1.0,2.5,Attack - Centre-Forward,12,left,Rayo Vallecano,2024-06-30,2019-07-01,Best of You,,LaLiga
1968,Predrag Rajković,Предраг Рајковић,27,1.92,Serbia,Negotin,10.0,10.0,Goalkeeper,1,right,RCD Mallorca,2026-06-30,2022-07-22,Soccer Mondial AG,,LaLiga
1969,Dominik Greif,,26,1.97,Slovakia,Bratislava,1.5,2.0,Goalkeeper,13,right,RCD Mallorca,2026-06-30,2021-07-06,Stars & Friends,Nike,LaLiga
1970,Leo Román,Leonardo Román Riquelme,22,1.89,Spain,Ibiza,0.3,0.3,Goalkeeper,31,right,RCD Mallorca,2026-06-30,2022-07-01,Antonio López ...,,LaLiga
1971,Martin Valjent,,27,1.87,Slovakia,Dubnica nad Váhom,4.5,5.0,Defender - Centre-Back,24,right,RCD Mallorca,2025-06-30,2019-07-01,20 Sport,,LaLiga
1972,Antonio Raíllo,Antonio José Raíllo Arenas,31,1.87,Spain,Córdoba,3.5,3.5,Defender - Centre-Back,21,,RCD Mallorca,2026-06-30,2016-07-01,Promoesport,,LaLiga
1973,Dennis Hadzikadunic,Dennis Hadžikadunić,24,1.91,Bosnia-Herzegovina  Sweden,Malmö,3.0,3.5,Defender - Centre-Back,5,right,RCD Mallorca,2023-06-30,2023-01-18,FM11,,LaLiga
1974,José Copete,José Manuel Arias Copete,23,1.9,Spain,Écija,3.0,3.0,Defender - Centre-Back,6,left,RCD Mallorca,2026-06-30,2022-07-01,YOU FIRST,,LaLiga
1975,Matija Nastasić,Матија Настасић,30,1.88,Serbia,Valjevo,1.5,22.0,Defender - Centre-Back,2,left,RCD Mallorca,2023-06-30,2022-09-01,LIAN Sports Group,,LaLiga
1976,Ludwig Augustinsson,Hans Carl Ludwig Augustinsson,29,1.81,Sweden,Stockholm,3.0,12.0,Defender - Left-Back,3,left,RCD Mallorca,2023-06-30,2023-01-30,HCM Sports ...,Nike,LaLiga
1977,Jaume Costa,Jaume Vincent Costa Jordá,35,1.71,Spain,Valencia,1.2,9.0,Defender - Left-Back,18,left,RCD Mallorca,2023-06-30,2021-07-07,Toldra Consulting ...,,LaLiga
1978,Pablo Maffeo,Pablo Carmine Maffeo Becerra,25,1.72,Spain  Argentina,Sant Joan Despí,8.0,10.0,Defender - Right-Back,15,right,RCD Mallorca,2026-06-30,2022-07-01,Promoesport,Nike,LaLiga
1979,Giovanni González,Giovanni Alessandro González Apud,28,1.78,Uruguay  Italy,Montevideo,2.0,2.0,Defender - Right-Back,20,right,RCD Mallorca,2024-06-30,2022-01-29,Promoesport,,LaLiga
1980,Manu Morlanes,Manuel Morlanes Ariño,24,1.78,Spain,Zaragoza,4.0,5.0,midfield - Central Midfield,11,right,RCD Mallorca,2023-06-30,2023-01-31,Goal Management,,LaLiga
1981,Iddrisu Baba,Iddrisu Baba Mohammed,27,1.82,Ghana  Spain,Accra,3.0,3.5,midfield - Central Midfield,12,right,RCD Mallorca,2024-06-30,2018-07-01,LIAN Sports Group,,LaLiga
1982,Iñigo Ruiz de Galarreta,Iñigo Ruiz de Galarreta Etxeberria,29,1.75,Spain,Donostia-San Sebastián,2.0,3.0,midfield - Central Midfield,4,right,RCD Mallorca,2023-06-30,2019-09-01,GLOBAL ASES,,LaLiga
1983,Antonio Sánchez,Antonio Sánchez Navarro,26,1.79,Spain,Palma de Mallorca,1.8,1.8,midfield - Central Midfield,10,right,RCD Mallorca,2024-06-30,2018-07-01,CAA Stellar,,LaLiga
1984,Clément Grenier,,32,1.86,France,Annonay,0.9,12.0,midfield - Central Midfield,8,right,RCD Mallorca,2024-06-30,2022-03-03,YOU FIRST,adidas,LaLiga
1985,Kang-in Lee,이강인,22,1.73,"Korea, South",Incheon,15.0,20.0,midfield - Attacking Midfield,19,left,RCD Mallorca,2025-06-30,2021-08-30,INTEGRAL ADVISING ...,adidas,LaLiga
1986,Dani Rodríguez,Daniel José Rodríguez Vázquez,34,1.78,Spain,Betanzos,1.2,1.5,midfield - Attacking Midfield,14,right,RCD Mallorca,2024-06-30,2018-07-01,PROTIO SPORT,Puma,LaLiga
1987,Amath Ndiaye,Amath Ndiaye Diedhiou,26,1.73,Senegal  Spain,Dakar,2.0,5.0,Attack - Left Winger,23,right,RCD Mallorca,2025-06-30,2021-07-01,EF11 SL,,LaLiga
1988,Vedat Muriqi,,29,1.94,Kosovo  Albania,Prizren,15.0,17.0,Attack - Centre-Forward,7,left,RCD Mallorca,2027-06-30,2022-07-22,FutureBall,,LaLiga
1989,Tino Kadewere,Philana Tinotenda Kadewere,27,1.83,Zimbabwe,Harare,5.0,14.0,Attack - Centre-Forward,17,right,RCD Mallorca,2023-06-30,2022-08-29,P.P.M.,,LaLiga
1990,Abdón Prats,Abdón Prats Bastidas,30,1.81,Spain,Artà,1.2,2.0,Attack - Centre-Forward,9,left,RCD Mallorca,2024-06-30,2017-07-04,Eugenio Botas ...,,LaLiga
1991,Ángel Rodríguez,Ángel Luis Rodríguez Díaz,36,1.71,Spain,Santa Cruz de Tenerife,1.0,7.5,Attack - Centre-Forward,22,right,RCD Mallorca,2023-06-30,2021-07-02,Emartsoccer,,LaLiga
1992,Fernando Martínez,Fernando Martínez Rubio,32,1.83,Spain,Murcia,2.0,2.0,Goalkeeper,13,right,UD Almería,2025-06-30,2017-07-05,JV SPORTS SL,,LaLiga
1993,Diego Mariño,Diego Mariño Villar,33,1.87,Spain,Vigo,0.3,2.5,Goalkeeper,1,right,UD Almería,2024-06-30,2023-01-26,Promoesport,,LaLiga
1994,Diego Fuoli,Diego Licinio Lázaro Fuoli,25,1.88,Spain,Zaragoza,0.2,0.25,Goalkeeper,25,right,UD Almería,2023-06-30,2022-07-01,Antonio López ...,,LaLiga
1995,Kaiky,,19,1.81,Brazil,Santos,5.0,8.0,Defender - Centre-Back,2,right,UD Almería,2028-06-30,2022-07-19,Bertolucci Sports,Nike,LaLiga
1996,Srdjan Babic,Срђан Бабић,27,1.94,Serbia  Bosnia-Herzegovina,Banja Luka,3.5,3.5,Defender - Centre-Back,22,left,UD Almería,2026-06-30,2022-07-01,YOU FIRST,Nike,LaLiga
1997,Rodrigo Ely,,29,1.91,Brazil  Italy,Lajeado,3.0,6.0,Defender - Centre-Back,19,right,UD Almería,2024-06-30,2022-03-07,Rafaela Pimenta,,LaLiga
1998,Chumi,,24,1.85,Spain,Laracha,2.0,2.5,Defender - Centre-Back,21,right,UD Almería,2025-06-30,2020-09-10,Bahía Internacional,,LaLiga
1999,Sergio Akieme,Sergio Akieme Rodríguez,25,1.75,Spain  Equatorial Guinea,Madrid,9.0,9.0,Defender - Left-Back,15,left,UD Almería,2026-06-30,2021-07-07,Promoesport,,LaLiga
2000,Álex Centelles,Alejandro Centelles Plaza,23,1.85,Spain,Valencia,1.2,5.0,Defender - Left-Back,20,left,UD Almería,2026-06-30,2020-10-02,Team Raiola,,LaLiga
2001,Alejandro Pozo,Alejandro Pozo Pozo,24,1.73,Spain,Huévar del Aljarafe,3.0,5.0,Defender - Right-Back,17,right,UD Almería,2027-06-30,2022-07-01,,,LaLiga
2002,Houboulang Mendes,,25,1.84,Guinea-Bissau  France,Courcouronnes,2.5,3.0,Defender - Right-Back,24,right,UD Almería,2026-06-30,2022-07-06,FS Management,,LaLiga
2003,Samú Costa,Samuel de Almeida Costa,22,1.85,Portugal,Aveiro,5.0,6.0,midfield - Defensive Midfield,23,left,UD Almería,2026-06-30,2021-07-01,Gestifute,,LaLiga
2004,Iñigo Eguaras,Iñigo Eguaras Álvarez,31,1.81,Spain,Antsoain,1.2,1.2,midfield - Defensive Midfield,4,right,UD Almería,2024-06-30,2022-01-21,Jesus Medina Martin,Nike,LaLiga
2005,Lucas Robertone,Lucas Gastón Robertone,26,1.69,Argentina  Italy,Concordia,7.0,8.0,midfield - Central Midfield,5,right,UD Almería,2028-06-30,2020-10-01,SP,,LaLiga
2006,Gonzalo Melero,Gonzalo Melero Manzanares,29,1.83,Spain,Madrid,4.0,7.5,midfield - Central Midfield,3,right,UD Almería,2026-06-30,2022-09-01,Bahía Internacional,,LaLiga
2007,Arnau Puigmal,Arnau Puigmal Martínez,22,1.74,Spain,Barcelona,2.0,2.0,midfield - Central Midfield,18,right,UD Almería,2026-06-30,2021-07-09,REVOLUTION Football ...,Puma,LaLiga
2008,César de la Hoz,César de la Hoz López,31,1.79,Spain,Orejo,1.2,1.2,midfield - Central Midfield,6,right,UD Almería,2023-06-30,2018-07-04,EMG Mundial,,LaLiga
2009,Largie Ramazani,,22,1.67,Belgium  Burundi,Berchem-Sainte-Agathe,9.0,10.0,Attack - Left Winger,7,right,UD Almería,2025-06-30,2020-08-24,Ramazani Mwanuke,,LaLiga
2010,Lázaro,,21,1.81,Brazil,Belo Horizonte,5.0,7.0,Attack - Left Winger,14,right,UD Almería,2028-06-30,2022-09-01,TFM Agency,Nike,LaLiga
2011,Adrián Embarba,Adrián Embarba Blazquez,31,1.73,Spain,Madrid,3.0,8.0,Attack - Right Winger,10,right,UD Almería,2026-06-30,2022-08-24,,,LaLiga
2012,Francisco Portillo,Francisco Portillo Soler,32,1.69,Spain,Málaga,1.5,4.0,Attack - Right Winger,8,right,UD Almería,2023-06-30,2021-07-22,Manuel García ...,,LaLiga
2013,Léo Baptistão,Leonardo Carrilho Baptistão,30,1.85,Brazil  Spain,Santos,1.8,7.0,Attack - Second Striker,12,right,UD Almería,2026-06-30,2022-08-11,Soccersport,Nike,LaLiga
2014,El Bilal Touré,,21,1.85,Mali  Cote d'Ivoire,Adjamé,10.0,11.0,Attack - Centre-Forward,9,both,UD Almería,2028-06-30,2022-09-01,,,LaLiga
2015,Luis Suárez,Luis Javier Suárez Charris,25,1.85,Colombia  Spain,Santa Marta,9.0,10.0,Attack - Centre-Forward,16,right,UD Almería,2023-06-30,2023-01-01,CAA Stellar,adidas,LaLiga
2016,Marko Milovanovic,Марко Миловановић,19,1.94,Serbia,Smederevo,1.2,1.2,Attack - Centre-Forward,27,right,UD Almería,2028-06-30,2022-07-11,,,LaLiga
2017,Dyego Sousa,Dyego Wilverson Ferreira Sousa,33,1.89,Portugal  Brazil,São José de Ribamar,1.0,12.0,Attack - Centre-Forward,11,right,UD Almería,2024-06-30,2021-08-31,,,LaLiga
2018,Sergio Asenjo,Sergio Asenjo Andrés,33,1.89,Spain,Palencia,1.5,12.0,Goalkeeper,13,right,Real Valladolid,2024-06-30,2022-07-07,,,LaLiga
2019,Jordi Masip,Jordi Masip López,34,1.8,Spain,Sabadell,1.0,6.0,Goalkeeper,1,right,Real Valladolid,2024-06-30,2017-07-17,OFSPORTS,,LaLiga
2020,Javi Sánchez,Javier Sánchez de Felipe,26,1.89,Spain,Getafe,3.0,3.0,Defender - Centre-Back,5,right,Real Valladolid,2026-06-30,2020-07-01,LEADERBROCK,,LaLiga
2021,Joaquín Fernández,Joaquín Fernández Moreno,26,1.9,Spain,Huercal de Almería,3.0,3.0,Defender - Centre-Back,24,right,Real Valladolid,2023-06-30,2018-08-31,Wasserman,,LaLiga
2022,Jawad El Yamiq,جواد اليميق,31,1.93,Morocco,Khouribga,2.0,2.0,Defender - Centre-Back,15,right,Real Valladolid,2024-06-30,2020-09-24,PDP s.r.l.  ...,Puma,LaLiga
2023,Lucas Olaza,Lucas René Olaza Catrofe,28,1.76,Uruguay  Spain,Montevideo,2.5,6.0,Defender - Left-Back,12,left,Real Valladolid,2025-06-30,2021-07-01,Sport Business,,LaLiga
2024,Sergio Escudero,Sergio Escudero Palomo,33,1.76,Spain,Valladolid,1.8,7.5,Defender - Left-Back,18,left,Real Valladolid,2024-06-30,2022-07-13,Bahía Internacional,Nike,LaLiga
2025,Iván Fresneda,Iván Fresneda Corraliza,18,1.82,Spain,Madrid,10.0,10.0,Defender - Right-Back,27,right,Real Valladolid,2025-06-30,2022-07-01,Epic Sports,,LaLiga
2026,Luis Pérez,Luis Jesús Pérez Maqueda,28,1.73,Spain,Utrera,1.5,1.5,Defender - Right-Back,2,right,Real Valladolid,2025-06-30,2020-08-04,PROTIO SPORT,,LaLiga
2027,Lucas Rosa,Lucas Oliveira Rosa,23,1.77,Brazil  Italy,Ribeirão Preto,1.0,1.0,Defender - Right-Back,39,right,Real Valladolid,2025-06-30,2022-10-01,Media Base Sports,,LaLiga
2028,Martin Hongla,Martin Hongla Yma II,25,1.81,Cameroon,Yaoundé,3.5,5.0,midfield - Defensive Midfield,20,right,Real Valladolid,2023-06-30,2023-01-31,YOU FIRST,,LaLiga
2029,Monchu,,23,1.73,Spain,Palma de Mallorca,5.0,5.0,midfield - Central Midfield,8,right,Real Valladolid,2026-06-30,2022-07-01,Wasserman,Nike,LaLiga
2030,Kike Pérez,Enrique Pérez Muñoz,26,1.84,Spain,Toledo,4.5,4.5,midfield - Central Midfield,4,left,Real Valladolid,2025-06-30,2020-08-12,LEADERBROCK,,LaLiga
2031,Álvaro Aguado,Álvaro Aguado Méndez,27,1.75,Spain,Jaén,3.0,3.0,midfield - Central Midfield,6,right,Real Valladolid,2023-06-30,2019-01-25,YOU FIRST,adidas,LaLiga
2032,Roque Mesa,Roque Mesa Quevedo,33,1.72,Spain,Telde,2.5,12.0,midfield - Central Midfield,17,right,Real Valladolid,2023-06-30,2020-10-05,CAA Stellar,Joma,LaLiga
2033,Anuar,أنور محمد تهامي,28,1.73,Morocco  Spain,Ceuta,1.0,1.5,midfield - Central Midfield,23,right,Real Valladolid,2023-06-30,2017-07-01,JV SPORTS SL,,LaLiga
2034,Selim Amallah,,26,1.86,Morocco  Belgium,Hautrage,4.0,7.0,midfield - Attacking Midfield,9,right,Real Valladolid,2027-06-30,2023-01-31,CAA Stellar,Nike,LaLiga
2035,Darwin Machís,Darwin Daniel Machís Marcano,30,1.71,Venezuela  Spain,Tucupita,4.0,10.0,Attack - Left Winger,22,right,Real Valladolid,2026-06-30,2023-01-19,YOU FIRST,,LaLiga
2036,Kenedy,,27,1.82,Brazil,Santa Rita do Sapucaí,3.0,12.0,Attack - Left Winger,19,left,Real Valladolid,2027-06-30,2022-09-01,,adidas,LaLiga
2037,Gonzalo Plata,Gonzalo Jordy Plata Jiménez,22,1.78,Ecuador,Guayaquil,5.0,6.0,Attack - Right Winger,11,left,Real Valladolid,2027-06-30,2022-07-11,Wasserman,,LaLiga
2038,Óscar Plano,Óscar Plano Pedreño,32,1.79,Spain,Móstoles,3.0,4.0,Attack - Right Winger,10,both,Real Valladolid,2023-06-30,2017-07-01,,,LaLiga
2039,Iván Sánchez,Iván Sánchez Aguayo,30,1.69,Spain,Jaén,0.8,1.2,Attack - Right Winger,21,left,Real Valladolid,2024-06-30,2022-07-01,JV SPORTS SL,,LaLiga
2040,Cyle Larin,Cyle Christopher Larin,28,1.88,Canada  Jamaica,"Brampton, Ontario",8.0,11.5,Attack - Centre-Forward,25,right,Real Valladolid,2023-06-30,2023-01-24,Axia Sports ...,adidas,LaLiga
2041,Sergio León,Sergio León Limones,34,1.76,Spain,La Palma del Río,2.0,5.0,Attack - Centre-Forward,7,right,Real Valladolid,2024-06-30,2021-08-31,JV SPORTS SL,Puma,LaLiga
2042,Conan Ledesma,Jeremías Conan Ledesma,30,1.86,Argentina  Italy,Pergamino,10.0,10.0,Goalkeeper,1,right,Cádiz CF,2025-06-30,2021-07-01,Best of You,,LaLiga
2043,David Gil,David Gil Mohedano,29,1.86,Spain,Getafe,0.7,0.8,Goalkeeper,13,right,Cádiz CF,2025-06-30,2018-07-01,Gesport Espizua SL,,LaLiga
2044,Víctor Chust,Víctor Chust García,23,1.84,Spain,Valencia,3.0,3.0,Defender - Centre-Back,32,both,Cádiz CF,2026-06-30,2022-07-06,Borja Couce,,LaLiga
2045,Fali,,29,1.86,Spain,Valencia,2.5,3.0,Defender - Centre-Back,3,right,Cádiz CF,2024-06-30,2019-07-01,Promoesport,,LaLiga
2046,Jorge Meré,Jorge Meré Pérez,26,1.82,Spain,Oviedo,1.5,10.0,Defender - Centre-Back,25,right,Cádiz CF,2023-06-30,2023-01-31,Gelu Rodríguez,Nike,LaLiga
2047,Luis Hernández,Luis Hernández Rodríguez,34,1.82,Spain,Madrid,1.0,3.5,Defender - Centre-Back,23,right,Cádiz CF,2025-06-30,2022-01-31,M.AG,,LaLiga
2048,Momo Mbaye,Mamadou Mbaye,24,1.92,Senegal,Saint-Louis,0.7,0.7,Defender - Centre-Back,5,left,Cádiz CF,2024-06-30,2022-08-09,Extra Time Sports ...,,LaLiga
2049,Alfonso Espino,Luis Alfonso Espino García,31,1.72,Uruguay  Spain,San Jacinto,4.0,6.0,Defender - Left-Back,22,left,Cádiz CF,2023-06-30,2019-01-28,GBG Global Business ...,New Balance,LaLiga
2050,Santiago Arzamendia,Santiago Arzamendia Duarte,25,1.72,Paraguay  Argentina,"Wanda, Misiones",1.5,5.0,Defender - Left-Back,21,left,Cádiz CF,2025-06-30,2021-07-08,,,LaLiga
2051,Iza Carcelén,Isaac Carcelén Valencia,30,1.7,Spain,El Puerto de Santa María,1.5,2.0,Defender - Right-Back,20,right,Cádiz CF,2023-06-30,2019-07-01,Wasserman,,LaLiga
2052,Raúl Parra,Raúl Parra Artal,23,1.87,Spain,Zaragoza,0.3,0.3,Defender - Right-Back,2,right,Cádiz CF,2024-06-30,2022-07-01,Emartsoccer,,LaLiga
2053,José Mari,,35,1.82,Spain,Rota (Cádiz),0.4,0.8,midfield - Defensive Midfield,6,right,Cádiz CF,2025-06-30,2016-08-16,Proeleven S.A.,,LaLiga
2054,Rubén Alcaraz,Rubén Alcaraz Jiménez,32,1.8,Spain,Barcelona,2.0,10.0,midfield - Central Midfield,4,right,Cádiz CF,2024-06-30,2022-07-01,LEADERBROCK,,LaLiga
2055,Gonzalo Escalante,,30,1.82,Argentina  Italy,Bella Vista,2.0,5.0,midfield - Central Midfield,17,right,Cádiz CF,2023-06-30,2023-01-25,YOU FIRST,,LaLiga
2056,Fede San Emeterio,Federico San Emeterio Díaz,26,1.76,Spain,Sierra de Ibio,2.0,5.0,midfield - Central Midfield,24,right,Cádiz CF,2026-06-30,2022-08-07,,,LaLiga
2057,Youba Diarra,Hamaciré Youba Diarra,25,1.78,Mali,Bamako,1.0,1.0,midfield - Central Midfield,12,right,Cádiz CF,2027-06-30,2023-01-01,12 MANagement,,LaLiga
2058,Álex Fernández,Alejandro Fernández Iglesias,30,1.83,Spain,Alcalá de Henares,5.0,7.5,midfield - Attacking Midfield,8,right,Cádiz CF,2025-06-30,2017-08-07,Niagara Sports ...,,LaLiga
2059,Brian Ocampo,Brian Alexis Ocampo Ferreira,23,1.72,Uruguay,Florida,2.0,4.0,Attack - Left Winger,14,right,Cádiz CF,2026-06-30,2022-08-28,Faro Sports,,LaLiga
2060,Théo Bongonda,Théo Bongonda Mbul'Ofeko Batombo,27,1.77,DR Congo  Belgium,Charleroi,4.0,11.0,Attack - Right Winger,10,left,Cádiz CF,2026-06-30,2022-08-26,Libera Sports,,LaLiga
2061,Iván Alejo,Iván Alejo Peralta,28,1.86,Spain,Valladolid,1.2,4.0,Attack - Right Winger,11,right,Cádiz CF,2025-06-30,2020-08-04,Wasserman,,LaLiga
2062,Anthony Lozano,Anthony Rubén Lozano Colón,30,1.83,Honduras  Spain,Yoro,2.8,4.0,Attack - Centre-Forward,9,right,Cádiz CF,2023-06-30,2020-08-04,Promoesport,,LaLiga
2063,Roger Martí,Roger Martí Salvador,32,1.79,Spain,Torrent,2.5,10.0,Attack - Centre-Forward,15,right,Cádiz CF,2023-06-30,2023-01-26,Promoesport,,LaLiga
2064,Sergi Guardiola,Sergio Guardiola Navarro,31,1.85,Spain,Manacor,2.5,7.5,Attack - Centre-Forward,19,left,Cádiz CF,2023-06-30,2023-01-31,JV SPORTS SL,,LaLiga
2065,Rubén Sobrino,Rubén Sobrino Pozuelo,30,1.85,Spain,Daimiel,2.0,5.0,Attack - Centre-Forward,7,right,Cádiz CF,2024-06-30,2021-08-30,LEADERBROCK,Nike,LaLiga
2066,Chris Ramos,Christopher Ramos de la Flor,26,1.9,Spain,Cádiz,1.5,1.5,Attack - Centre-Forward,16,right,Cádiz CF,2028-06-30,2023-01-31,CONTROL ORIENTADO,,LaLiga
2067,Álvaro Negredo,Álvaro Negredo Sánchez,37,1.86,Spain,Madrid,1.2,27.0,Attack - Centre-Forward,18,left,Cádiz CF,2023-06-30,2020-08-04,Niagara Sports ...,New Balance,LaLiga
2068,Édgar Badía,Édgar Badía Guardiola,31,1.8,Spain,Barcelona,4.0,4.0,Goalkeeper,13,right,Elche CF,2025-06-30,2019-01-05,Wasserman,,LaLiga
2069,Axel Werner,Axel Wilfredo Werner,27,1.91,Argentina  Italy,Rafaela,0.8,1.5,Goalkeeper,1,right,Elche CF,2023-06-30,2021-09-01,Relatives,,LaLiga
2070,Lisandro Magallán,,29,1.85,Argentina  Italy,La Plata,2.0,6.0,Defender - Centre-Back,7,right,Elche CF,2023-06-30,2023-01-05,SP,adidas,LaLiga
2071,Enzo Roco,Enzo Pablo Roco Roco,30,1.92,Chile,Ovalle,1.8,3.0,Defender - Centre-Back,3,right,Elche CF,2023-06-30,2021-07-09,Fernando Felicevich,Nike,LaLiga
2072,Diego González,Diego González Polanco,28,1.85,Spain,Chiclana de la Frontera (Cádiz),1.5,2.0,Defender - Centre-Back,4,right,Elche CF,2024-06-30,2020-10-09,Promoesport,,LaLiga
2073,Pedro Bigas,Pedro Bigas Rigo,33,1.81,Spain,Palma de Mallorca,1.0,5.0,Defender - Centre-Back,6,left,Elche CF,2023-06-30,2021-07-07,,,LaLiga
2074,Gonzalo Verdú,Gonzalo Cacicedo Verdú,34,1.88,Spain,Cartagena,0.7,0.8,Defender - Centre-Back,5,right,Elche CF,2023-06-30,2017-07-01,RGFOOTBALL,,LaLiga
